Ingredient,Effects
 2-ACETYL-4-ISOPROPYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 3-ACETYLMERCAPTOHEXYL ACETATE, FLAVORING AGENT OR ADJUVANT
 N-ACETYL-L-METHIONINE, NUTRIENT SUPPLEMENT
 ACETYL METHYL CARBINYL ACETATE, FLAVORING AGENT OR ADJUVANT
 2-ACETYL-5-METHYLFURAN," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-ACETYL-3-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 4-ACETYL-2-METHYLPYRIMIDINE, FLAVORING AGENT OR ADJUVANT
 2-ACETYL-5-METHYLTHIOPHENE, FLAVORING AGENT OR ADJUVANT
 ACETYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 2-ACETYLPYRIDINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 3-ACETYLPYRIDINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 2-ACETYL-1-PYRROLINE, FLAVORING AGENT OR ADJUVANT
" 4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE", FLAVORING AGENT OR ADJUVANT
 2-ACETYLTHIAZOLE," ANTIOXIDANT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, SURFACE-FINISHING AGENT"
 2-ACETYL-2-THIAZOLINE, FLAVORING AGENT OR ADJUVANT
 3-(ACETYLTHIO)-2-METHYLFURAN, FLAVORING AGENT OR ADJUVANT
 ACONITIC ACID, FLAVORING AGENT OR ADJUVANT
 ACROLEIN, ANTIMICROBIAL AGENT
 ACRYLAMIDE-ACRYLIC ACID RESIN," FLAVORING AGENT OR ADJUVANT, SURFACE-FINISHING AGENT"
 ACRYLAMIDE-SODIUM ACRYLATE RESIN, BOILER WATER ADDITIVE
 ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER, BOILER WATER ADDITIVE
 ACTIVATED CARBON, PROCESSING AID
 ADIPIC ACID," FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PH CONTROL AGENT"
 ADIPIC ANHYDRIDE," FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PH CONTROL AGENT"
 ADVANTAME, NON-NUTRITIVE SWEETENER
 BETA-ALANINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 DL-ALANINE, FLAVORING AGENT OR ADJUVANT
 L-ALANINE, NUTRIENT SUPPLEMENT
 L-ALANYL-L-GLUTAMINE, FLAVORING AGENT OR ADJUVANT
 ALBUMIN," FIRMING AGENT, FORMULATION AID, NUTRIENT SUPPLEMENT, PROCESSING AID, PROPELLANT, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, SURFACE-FINISHING AGENT, TEXTURIZER"
" ALCOHOL, DENATURED FORMULA 23A", PROCESSING AID
 ALCOHOL SDA-3A, PROCESSING AID
" ALFALFA, EXTRACT (MEDICAGO SATIVA L.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ALFALFA, HERB AND SEED (MEDICAGO SATIVA L.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ALGAE, BROWN, EXTRACT (MACROCYSTIS AND LAMINARIA SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ALGAE, RED (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ALGAE, RED, EXTRACT (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ALGINATE, AMMONIUM"," EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, FLAVOR ENHANCER, FORMULATION AID, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
" ALGINATE, CALCIUM"," EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, FLAVOR ENHANCER, FORMULATION AID, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
" ALGINATE, POTASSIUM"," EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, FLAVOR ENHANCER, FORMULATION AID, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
" ALGINATE, SODIUM CALCIUM"," EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, FLAVOR ENHANCER, FORMULATION AID, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT, TEXTURIZER"
 ALGINIC ACID," EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID, STABILIZER OR THICKENER"
" ALKANET ROOT, EXTRACT (ALKANNA TINCTORIA TAUSCH)--NLFG",Not Available
 ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE, PROCESSING AID
" ALKYLENE OXIDE ADDUCTS OF ALKYL ALCOHOLS/PHOSPHATE ESTERS OF SAME, MIXTURE",Not Available
 N-ALKYL(C8-C18 FROM COCONUT OIL) AMINE ACETATE,Not Available
 ALPHA-ALKYL-OMEGA-HYDROXY-POLY(OXYETHYLENE), PROCESSING AID
 ALLSPICE (PIMENTA OFFICINALIS LINDL.)," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT"
" ALLSPICE, OIL (PIMENTA OFFICINALIS LINDL.)", FLAVORING AGENT OR ADJUVANT
" ALLSPICE, OLEORESIN (PIMENTA OFFICINALIS LINDL.)", FLAVORING AGENT OR ADJUVANT
 ALLYL ALPHA-IONONE, FLAVORING AGENT OR ADJUVANT
 ALLYL ANTHRANILATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ALLYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 ALLYL CROTONATE, FLAVORING AGENT OR ADJUVANT
 ALLYL CYCLOHEXANEACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL CYCLOHEXANEBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ALLYL CYCLOHEXANEHEXANOATE, FLAVORING AGENT OR ADJUVANT
 ALLYL CYCLOHEXANEPROPIONATE, FLAVORING AGENT OR ADJUVANT
 ALLYL CYCLOHEXANEVALERATE, FLAVORING AGENT OR ADJUVANT
 S-ALLYL-L-CYSTEINE, FLAVORING AGENT OR ADJUVANT
" 4-ALLYL-2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
 ALLYL DISULFIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL 2-ETHYLBUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 ALLYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 ALLYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 ALLYL HEXENOATE,Not Available
 ALLYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 ALLYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 ALLYL MERCAPTAN," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL METHYL DISULFIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL METHYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 ALLYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 ALLYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 4-ALLYLPHENOL, FLAVORING AGENT OR ADJUVANT
 ALLYL PHENOXYACETATE, FLAVORING AGENT OR ADJUVANT
 ALLYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 ALLYL PROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 ALLYL SORBATE, FLAVORING AGENT OR ADJUVANT
 ALLYL SULFIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALLYL THIOHEXANOATE, FLAVORING AGENT OR ADJUVANT
 ALLYL THIOPROPIONATE," FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT"
 ALLYL TIGLATE, FLAVORING AGENT OR ADJUVANT
 ALLYL 10-UNDECENOATE, FLAVORING AGENT OR ADJUVANT
 ALLYL VALERATE, FLAVORING AGENT OR ADJUVANT
" ALMOND, BITTER, OIL (FFPA) (PRUNUS SPP.)", FLAVORING AGENT OR ADJUVANT
" ALOE, EXTRACT (ALOE SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALPHA-AMYLCINNAMYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-ETHYL BENZYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
" ALPHA-HYDRO-OMEGA-HYDROXY POLY(OXYETHYLENE) POLY(OXYPROPYLENE) POLY(OXYETHYLENE) (15 MOLE MINIMUM) BLOCKED COPOLYMER, LOW ERUCIC ACID RAPESEED OIL POLYMERS", SURFACE-ACTIVE AGENT
 ALPHA-ISOBUTYLPHENETHYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 ALPHA-METHYLBENZYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-METHYLBENZYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ALPHA-TOCOPHEROL ACID SUCCINATE, NUTRIENT SUPPLEMENT
 ALTHEA FLOWERS (ALTHEA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 ALTHEA ROOT (ALTHEA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
" ALUM (DOUBLE SULFATE OF AL AND NH4, K, OR NA)", FIRMING AGENT
 ALUMINUM AMMONIUM SULFATE," LEAVENING AGENT, PH CONTROL AGENT, PROCESSING AID, SURFACE-FINISHING AGENT"
 ALUMINUM CALCIUM SILICATE,Not Available
 ALUMINUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM HYDROXIDE," COLOR OR COLORING ADJUNCT, PROCESSING AID"
 ALUMINUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM NICOTINATE, NUTRIENT SUPPLEMENT
 ALUMINUM OLEATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM PALMITATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM POTASSIUM SULFATE," FIRMING AGENT, FUMIGANT, PH CONTROL AGENT"
 ALUMINUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM SODIUM SULFATE," FIRMING AGENT, LEAVENING AGENT, PH CONTROL AGENT"
 ALUMINUM STEARATE," ANTICAKING AGENT OR FREE-FLOW AGENT, EMULSIFIER OR EMULSIFIER SALT, FORMULATION AID"
 ALUMINUM SULFATE," COLOR OR COLORING ADJUNCT, EMULSIFIER OR EMULSIFIER SALT, FIRMING AGENT, PH CONTROL AGENT, PROCESSING AID, SEQUESTRANT"
" AMBERGRIS, TINCTURE", FLAVORING AGENT OR ADJUVANT
" AMBRETTE, ABSOLUTE, OIL (HIBISCUS ABELMOSCHUS L.)", FLAVORING AGENT OR ADJUVANT
 AMBRETTE SEED (HIBISCUS ABELMOSCHUS L.), FLAVORING AGENT OR ADJUVANT
" AMBRETTE SEED, OIL (HIBISCUS ABELMOSCHUS L.)", FLAVORING AGENT OR ADJUVANT
" AMBRETTE, TINCTURE (HIBISCUS ABELMOSCHUS L.)", FLAVORING AGENT OR ADJUVANT
 1-AMINO-2-PROPANOL, FLAVORING AGENT OR ADJUVANT
 2'-AMINOACETOPHENONE, FLAVORING AGENT OR ADJUVANT
 P-AMINOBENZOIC ACID, NUTRIENT SUPPLEMENT
 4-AMINOBUTYRIC ACID, FLAVORING AGENT OR ADJUVANT
 DL-(3-AMINO-3-CARBOXYPROPYL)DIMETHYLSULFONIUM CHLORIDE, FLAVORING AGENT OR ADJUVANT
" 4-AMINO-5,6-DIMETHYLTHIENO[2,3-D]PYRIMIDIN-2(1H)-ONE", FLAVORING AGENT OR ADJUVANT
" 4-AMINO-5,6-DIMETHYLTHIENO[2,3-D]PYRIMIDIN-2(1H)-ONE HYDROCHLORIDE", FLAVORING AGENT OR ADJUVANT
" 3-[(4-AMINO-2,2-DIOXIDO-1H-2,1,3-BENZOTHIADIAZIN-5-YL)OXY]-2,2-DIMETHYL-N-PROPYLPROPANAMIDE", FLAVORING AGENT OR ADJUVANT
 AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE II, ENZYME
 AMINOPEPTIDASE FROM LACTOCOCCUS LACTIS, ENZYME
" AMINO TRI(METHYLENE PHOSPHONIC ACID), SODIUM SALT",Not Available
 AMMONIA (ALSO INCLUDES AMMONIUM CHLORIDE), FLAVORING AGENT OR ADJUVANT
 AMMONIUM ACETATE,Not Available
 AMMONIUM BICARBONATE," DOUGH STRENGTHENER, LEAVENING AGENT, PH CONTROL AGENT, TEXTURIZER"
 AMMONIUM CARBONATE," LEAVENING AGENT, PH CONTROL AGENT"
 AMMONIUM CASEINATE,Not Available
 AMMONIUM CHLORIDE," DOUGH STRENGTHENER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PROCESSING AID"
" AMMONIUM CITRATE, DIBASIC", LUBRICANT OR RELEASE AGENT
 AMMONIUM GLUCONATE,Not Available
 AMMONIUM HYDROXIDE," LEAVENING AGENT, PH CONTROL AGENT, SURFACE-FINISHING AGENT"
 AMMONIUM ISOVALERATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 AMMONIUM PECTINATE,Not Available
 AMMONIUM PERSULFATE," ANTIMICROBIAL AGENT, FUMIGANT"
" AMMONIUM PHOSPHATE, DIBASIC"," FIRMING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, MALTING OR FERMENTING AID, NUTRIENT SUPPLEMENT, PH CONTROL AGENT"
" AMMONIUM PHOSPHATE, MONOBASIC"," LEAVENING AGENT, MALTING OR FERMENTING AID, PH CONTROL AGENT"
 AMMONIUM SULFATE," DOUGH STRENGTHENER, FIRMING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FLOUR TREATING AGENT, LEAVENING AGENT, MALTING OR FERMENTING AID, PROCESSING AID"
 AMMONIUM SULFIDE," ANTIOXIDANT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 AMMONIUM SULFITE, COLOR OR COLORING ADJUNCT
 AMYL ALCOHOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALPHA-AMYLASE ENZYME PREPARATION FROM BACILLUS STEAROTHERMOPHILUS, ENZYME
 AMYLASE FROM ASPERGILLUS FLAVUS," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PROCESSING AID"
 AMYLASE FROM ASPERGILLUS NIGER," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PROCESSING AID"
 AMYLASE FROM ASPERGILLUS ORYZAE," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PROCESSING AID"
 AMYLASE FROM BACILLUS SUBTILIS," ENZYME, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, LEAVENING AGENT, PROCESSING AID"
 AMYL BUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALPHA-AMYLCINNAMALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ALPHA-AMYLCINNAMALDEHYDE DIMETHYL ACETAL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALPHA-AMYLCINNAMYL ACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALPHA-AMYLCINNAMYL ALCOHOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ALPHA-AMYLCINNAMYL FORMATE, FLAVORING AGENT OR ADJUVANT
 AMYL DECANOATE, FLAVORING AGENT OR ADJUVANT
 AMYL FORMATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 AMYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 AMYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 AMYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 AMYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 AMYL METHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 AMYL OCTANOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 AMYLOGLUCOSIDASE FROM RHIZOPUS NIVEUS," ENZYME, MALTING OR FERMENTING AID, PROCESSING AID"
" 2-AMYL-5 OR 6-KETO-1,4-DIOXANE", FLAVORING AGENT OR ADJUVANT
 AMYL SALICYLATE,Not Available
 AMYRIS (AMYRIS BALSAMIFERA L.), FLAVORING AGENT OR ADJUVANT
" AMYRIS, OIL (AMYRIS BALSAMIFERA L.)", FLAVORING AGENT OR ADJUVANT
" (2,4)- AND (3,5)- AND (3,6)-DIMETHYL-3-CYCLOHEXENYLCARBALDEHYDE", FLAVORING AGENT OR ADJUVANT
 TRANS-ANETHOLE, FLAVORING AGENT OR ADJUVANT
 ANGELICA (ANGELICA SPP.), FLAVORING AGENT OR ADJUVANT
 BETA-ANGELICALACTONE, FLAVORING AGENT OR ADJUVANT
 ANGELICA ROOT (ANGELICA SPP.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ANGELICA ROOT, EXTRACT (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
" ANGELICA ROOT, OIL (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 ANGELICA SEED (ANGELICA SPP.),Not Available
" ANGELICA SEED, EXTRACT (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
" ANGELICA SEED, OIL (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
" ANGELICA STEM, OIL (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 ANGOLA WEED (ROCCELLA FUCIFORMIS ACH.), FLAVORING AGENT OR ADJUVANT
 ANGOSTURA (GALIPEA OFFINCINALIS HANCOCK), FLAVORING AGENT OR ADJUVANT
" ANGOSTURA, EXTRACT (GALIPEA OFFICINALIS HANCOCK)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ANISALDEHYDE PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 ANISE (PIMPINELLA ANISUM L.), FLAVORING AGENT OR ADJUVANT
" ANISE, OIL (PIMPINELLA ANISUM L.)", FLAVORING AGENT OR ADJUVANT
" ANISE, STAR (ILLICIUM VERUM HOOK, F.)", FLAVORING AGENT OR ADJUVANT
" ANISE, STAR, OIL (ILLICIUM VERUM HOOK, F.)", FLAVORING AGENT OR ADJUVANT
 ANISIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ANISOLE, FLAVORING AGENT OR ADJUVANT
 ANISYL ACETATE, FLAVORING AGENT OR ADJUVANT
 ANISYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 ANISYL BUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ANISYL FORMATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ANISYL PHENYLACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ANISYL PROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ANNATTO, EXTRACT (BIXA ORELLANA L.)"," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, PROCESSING AID, SURFACE-FINISHING AGENT"
 ANOXOMER, ANTIOXIDANT
" ANTHRACITE COAL, SULFONATED"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 BETA-APO-8'-CAROTENAL, COLOR OR COLORING ADJUNCT
" APPLE ESSENCE, NATURAL", FLAVORING AGENT OR ADJUVANT
" APRICOT KERNEL, OIL (PRUNUS ARMENIACA L.)", FLAVORING AGENT OR ADJUVANT
 ARABINOGALACTAN," EMULSIFIER OR EMULSIFIER SALT, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, HUMECTANT, NUTRIENT SUPPLEMENT, PROCESSING AID, STABILIZER OR THICKENER, SYNERGIST, TEXTURIZER"
 L-ARABINOSE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 L-ARGININE, NUTRIENT SUPPLEMENT
 ARNICA FLOWERS (ARNICA SPP.), FLAVORING AGENT OR ADJUVANT
 ARROWROOT STARCH, STABILIZER OR THICKENER
 ARTEMISIA (ARTEMISIA SPP.), FLAVORING AGENT OR ADJUVANT
 ARTEMISIA EXTRACT, FLAVORING AGENT OR ADJUVANT
 ARTEMISIA OIL, FLAVORING AGENT OR ADJUVANT
 ARTICHOKE LEAVES (CYNARA SCOLYMUS L.), FLAVORING AGENT OR ADJUVANT
" ASAFETIDA, FLUID EXTRACT (FERULA ASSAFOETIDA L.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ASAFETIDA, GUM (FERULA ASSAFOETIDA L.)", FLAVORING AGENT OR ADJUVANT
" ASAFETIDA, OIL (FERULA ASSAFOETIDA L.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ASCORBYL PALMITATE, ANTIOXIDANT
 ASCORBYL STEARATE, ANTIOXIDANT
 L-ASPARAGINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
" ASPARAGUS, SEED AND ROOT, EXTRACT"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ASPARTAME," FLAVOR ENHANCER, NON-NUTRITIVE SWEETENER"
 L-ASPARTIC ACID," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, NUTRIENT SUPPLEMENT"
 ASPERGILLUS NIGER FOR FERMENTATION PRODUCTION OF CITRIC ACID, SOLVENT OR VEHICLE
 ASTAXANTHIN, COLOR OR COLORING ADJUNCT
 AZODICARBONAMIDE," DOUGH STRENGTHENER, FLOUR TREATING AGENT"
 BACTERIAL CATALASE FROM MICROCOCCUS LYSODEIKTICUS, ENZYME
 BAKERS YEAST EXTRACT," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, MALTING OR FERMENTING AID, NUTRIENT SUPPLEMENT"
 BAKER'S YEAST GLYCAN," EMULSIFIER OR EMULSIFIER SALT, STABILIZER OR THICKENER, TEXTURIZER"
 BAKER'S YEAST PROTEIN, LEAVENING AGENT
 BALM (MELISSA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 BALM LEAVES (MELISSA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
