Ingredient,Nutrition,HealthBenefits,HealthRisks,DiseaseConcerned,HealthinessScore
curry leaves,"Iron, Vit A","Hair, skin benefits",0,None,8
dried mango powder (amchur),Vit C,"Digestive aid, vitamin boost",0,None,8
tamarind,"Magnesium, potassium","Laxative, heart health",0,None,6
jaggery,Minerals,"Digestive health, toxin removal",0,None,6
honey,Antioxidants,"Antibacterial, cough relief",0,None,6
baking powder,Sodium bicarbonate,Leavening agent for baking,0,High sodium intake concerns,7
baking soda,Sodium bicarbonate,"Leavening agent, pH balance for baking",0,High sodium intake concerns,7
yeast,0,"Leavening agent, nutrient source",0,None,7
artificial flavors,0,0,Potential health concerns,"Allergies, sensitivities",3
natural flavors,0,Flavor enhancement,0,"Allergies, sensitivities",6
citric acid,Antioxidant,"Preservative, flavor",0,None,7
ascorbic acid,Vit C,"Antioxidant, preservative",0,None,9
vinegar,Acetic acid,"Weight management, blood sugar control",0,None,8
soy sauce,0,0,High sodium,Hypertension,4
tomato powder,"Vit C, lycopene","Flavor, health benefits of tomatoes",0,None,7
cocoa powder,Antioxidants,"Heart health, mood improvement",0,None,8
chocolate chips,0,0,"High sugar, calories","Obesity, diabetes",4
vanilla extract,0,Flavor enhancement,0,None,7
artificial colors,0,0,Potential health concerns,"Allergies, hyperactivity in children",2
monosodium glutamate (msg),0,0,Sensitivity in some individuals,None,5
hydrolyzed vegetable protein,0,0,High sodium,Hypertension,5
maltodextrin,0,0,High glycemic index,Diabetes,3
dextrose,0,0,High blood sugar risk,Diabetes,3
fructose,0,0,High intake risks,"Obesity, liver disease",3
glucose syrup,0,0,High blood sugar risk,Diabetes,3
corn syrup,0,0,High blood sugar risk,"Diabetes, obesity",2
high fructose corn syrup,0,0,"Linked to obesity, diabetes","Obesity, diabetes",2
starch,0,0,High GI,Diabetes,5
agar-agar,Fiber,"Vegetarian gelatin substitute, promotes gut health",0,None,8
carrageenan,0,0,Possible digestive issues,None,4
xanthan gum,Fiber,"Thickener, may lower blood sugar",0,None,6
guar gum,Fiber,"Thickener, may improve digestive health",0,None,7
pectin,Fiber,"Promotes digestive health, natural gelatin",0,None,8
lecithin,0,"Improves cholesterol levels, emulsifier",0,Soy allergies (if sourced from soy),7
aspartame,0,0,"Potential headache, cancer risk",Phenylketonuria,2
sucralose,0,Sweetener without calories,0,None,3
stevia,0,"Natural, no-calorie sweetener, may lower blood pressure",0,None,8
malt extract,0,"Enhances flavor, provides nutrients",0,Gluten sensitivity,6
cheese powder,Calcium,"Flavor enhancement, nutrient source",0,"High blood pressure, heart disease",5
milk powder,"Calcium, Vitamins",Convenient nutrient source,0,Lactose intolerance,7
cream powder,0,0,High in saturated fat,Heart disease,4
yogurt powder,"Probiotics, calcium","Digestive health, nutrient source",0,Lactose intolerance,7
onion powder,Antioxidants,"Flavor enhancement, nutrient boost",0,None,8
garlic powder,Allicin,"Immune support, heart health",0,None,9
ginger powder,Gingerol,"Nausea relief, anti-inflammatory",0,None,9
green chili powder,Capsaicin,"Metabolism boost, pain relief",0,None,8
tomato paste,"Lycopene, Vit C","Antioxidant, supports heart health",0,None,9
mushroom,"Vit D, Selenium",Boosts immune system,0,None,9
paneer (cottage cheese),"Calcium, Protein","Bone health, muscle repair",0,Lactose intolerance,7
tofu,"Isoflavones, Protein","Heart health, bone health",0,Soy allergies,8
soy chunks,"Protein, Fiber","Muscle health, digestive health",0,Soy allergies,8
green peas,"Vit K, Fiber",Supports blood sugar control,0,None,9
carrot,"Beta-carotene, Fiber","Eye health, digestive health",0,None,9
beans,"Protein, Fiber","Heart health, blood sugar control",0,None,9
cauliflower,"Vit C, Choline","Brain health, anti-inflammatory",0,None,9
broccoli,"Vit C, K","Cancer prevention, antioxidant",0,None,9
spinach,"Iron, Vit A","Eye health, immune support",0,None,9
corn kernels,"Fiber, Vit B","Energy production, digestive health",0,GMO concerns,7
red bell pepper,"Vit C, A","Immune support, skin health",0,None,9
yellow bell pepper,"Vit C, Carotenoids","Antioxidant, heart health",0,None,9
green bell pepper,"Vit C, E","Antioxidant, supports metabolism",0,None,9
bamboo shoots,"Fiber, Potassium","Digestive health, cardiovascular health",0,None,8
water chestnut,"Potassium, Fiber","Energy, digestive health",0,None,7
baby corn,"Fiber, Vit C","Low calorie, fiber-rich",0,None,7
chickpeas,"Protein, Fiber","Blood sugar control, digestive health",0,None,9
kidney beans,"Protein, Fiber","Heart health, cholesterol management",0,None,9
black beans,"Antioxidants, Protein","Heart health, blood sugar control",0,None,9
lentils,"Protein, Iron","Energy, heart health",0,None,9
pigeon peas (toor dal),"Protein, Fiber","Energy, digestive health",0,None,8
black eyed peas,"Protein, Fiber","Heart health, digestive health",0,None,8
mung beans,"Protein, Vit B","Blood pressure, digestive health",0,None,9
cabbage,"Vit K, C","Cancer prevention, inflammation reduction",0,None,9
pumpkin,"Beta-carotene, Fiber","Eye health, weight management",0,None,9
zucchini,"Vit C, Antioxidants","Heart health, hydration",0,None,9
eggplant,"Fiber, Antioxidants","Heart health, blood sugar control",0,None,8
sweet potato,"Beta-carotene, Vit A","Immune support, vision health",0,None,9
beetroot,"Folate, Fiber","Blood pressure control, stamina",0,None,9
cucumber,"Hydration, Vit K","Hydration, skin health",0,None,8
radish,"Vit C, Potassium","Digestive health, blood pressure control",0,None,8
okra (ladyfinger),"Vit C, Fiber","Blood sugar control, heart health",0,None,9
bottle gourd,"Vit C, Water","Weight loss, hydration",0,None,8
ridge gourd,"Vit C, Fiber","Weight loss, blood sugar control",0,None,8
bitter gourd,"Charantin, Vit C",Blood sugar control,0,None,8
drumstick,"Vit C, Potassium","Bone health, blood sugar control",0,None,8
fenugreek leaves (methi),"Fiber, Iron","Blood sugar control, cholesterol management",0,None,8
mint leaves,"Vit A, Menthol","Digestive aid, oral health",0,None,9
coriander leaves,"Vit C, A","Detoxification, skin health",0,None,9
dill leaves,"Vit C, Calcium","Bone health, digestion aid",0,None,8
saffron,Antioxidants,"Mood improvement, PMS symptoms relief",0,None,8
star anise,Shikimic acid,"Antiviral, digestion aid",0,None,8
aniseed (saunf),"Iron, Calcium","Digestion, breath freshener",0,None,8
black salt,Minerals,"Digestive aid, heartburn relief",0,None,7
rock salt,Minerals,"Electrolyte balance, digestion aid",0,None,7
kala namak,Sulfur compounds,"Digestive aid, vegan egg flavoring",0,None,7
sea salt,Minerals,"Trace minerals, flavor enhancement",0,None,7
himalayan pink salt,84 minerals,"Electrolyte balance, detoxification",0,None,7
asafoetida (hing),Ferula compounds,"Digestive aid, reduces bloating",0,None,8
almonds,"Vit E, Magnesium","Heart health, brain function",0,None,9
cashews,"Magnesium, Zinc","Bone health, immune support",0,None,8
peanuts,"Protein, Healthy fats","Heart health, muscle building",0,Peanut allergies,7
pistachio,Flavor,Adds pistachio flavor to dishes and desserts,0,Nut allergies,5
walnuts,"Omega-3, Antioxidants","Brain health, heart health",0,None,9
raisins,"Iron, Potassium","Digestion, energy boost",0,None,7
dates,"Fiber, Potassium","Energy boost, digestive health",0,None,8
figs,"Fiber, Calcium","Bone health, digestive health",0,None,8
apricots,"Vit A, C","Skin health, eye health",0,None,8
prunes,"Fiber, Potassium","Digestive health, bone health",0,None,8
coconut milk,MCTs,"Energy, brain function",0,None,6
coconut cream,MCTs,"Rich texture in cooking, energy",0,None,6
almond milk,"Vit D, Calcium (fortified)","Bone health, dairy alternative",0,Nut allergies,8
soy milk,"Protein, Vit D (fortified)","Heart health, dairy alternative",0,Soy allergies,8
rice milk,Carbohydrates,"Dairy alternative, hypoallergenic",0,None,5
oat milk,"Fiber, Vit B","Heart health, dairy alternative",0,Gluten sensitivity,7
cashew milk,"Vit E, Magnesium","Heart health, dairy alternative",0,Nut allergies,7
cream cheese,Fat,0,High in saturated fat,Heart disease,5
Sour Cream,"Fat, Vitamin A",0,High in saturated fat,Heart conditions,5
evaporated milk,"Calcium, Vit D",Concentrated milk nutrients,0,Lactose intolerance,6
Condensed Milk,"Sugar, Calcium",0,High in sugar,"Diabetes, Obesity",5
buttermilk,Probiotics,Digestive health,0,Lactose intolerance,7
whey,Protein,"Muscle repair, weight loss aid",0,Lactose intolerance,8
skim milk,"Calcium, Protein","Bone health, low-fat",0,Lactose intolerance,7
Full Cream Milk,"Calcium, Protein","Nutrient-rich, supports bone health",0,Lactose intolerance,7
heavy cream,Fat,0,High in saturated fat,Heart disease,5
light cream,Fat,0,"Creaminess with fewer calories, High in saturated fat",Heart disease,6
cottage cheese,"Protein, Calcium","Muscle repair, bone health",0,Lactose intolerance,7
feta cheese,Calcium,0,High in sodium,Heart disease,6
mozzarella cheese,"Protein, Calcium","Muscle repair, bone health",0,Lactose intolerance,7
parmesan cheese,"Calcium, Protein",0,High in sodium,Heart disease,7
gouda cheese,"Calcium, Vit K2","Bone health, dental health",0,Lactose intolerance,7
cheddar cheese,"Calcium, Protein","Heart health, muscle repair",0,Lactose intolerance,7
blue cheese,"Calcium, Protein","Bone health, flavor enhancement",0,Lactose intolerance,7
romano cheese,"Calcium, Protein",0,High in sodium,Heart disease,6
goat cheese,"Protein, Calcium","Digestibility, bone health",0,Lactose intolerance,7
yeast extract,B vitamins,"Umami flavor, nutrient boost",0,Yeast allergies,7
seaweed,"Iodine, Vitamins","Thyroid support, heart health",0,None,9
nori,"Vitamins, Minerals","Thyroid function, vegan nutrient source",0,None,9
spirulina,"Protein, Vit B12","Immune support, energy boost",0,None,9
chlorella,"Chlorophyll, Protein","Detoxification, immune support",0,None,9
kombu,"Iodine, Fiber","Digestive health, umami flavor",0,None,8
wakame,"Fucoxanthin, Fiber","Weight management, cardiovascular health",0,None,9
fish sauce,"Umami, Protein",0,High in sodium,Hypertension,5
oyster sauce,"Umami, Sugar",0,High in sodium,Hypertension,5
hoisin sauce,"Sugar, Vinegar",0,High sugar content,Diabetes,5
sriracha sauce,"Capsaicin, Vinegar, Metabolism boost",0,0,None,7
chili sauce,"Capsaicin, Sugar",0,High sugar content,Diabetes,6
teriyaki sauce,"Soy, Sugar",0,High in sodium,Hypertension,5
live active cultures,Probiotics,"Gut health, immune support",0,None,9
probiotic strains,Varied probiotics,"Digestive health, immune function",0,Immune disorders,9
kefir grains,"Probiotics, Yeast","Gut health, antimicrobial properties",0,Dairy sensitivity,9
acid whey,"Protein, Minerals","Muscle repair, nutritional recovery",0,Lactose intolerance,7
sweet whey,"Lactose, Protein","Energy, muscle growth",0,Lactose intolerance,7
lactose monohydrate,"Carbs, Energy Source",0,Digestive issues,Lactose intolerance,5
milk protein isolate,"Protein, Low lactose","Muscle growth, recovery",0,Milk allergies,8
milk protein concentrate,"Protein, Vitamins","Muscle maintenance, satiety",0,Milk allergies,8
sodium caseinate,Protein,"Muscle repair, food stabilizer",0,Milk allergies,7
calcium caseinate,Protein,"Muscle growth, calcium source",0,Milk allergies,7
magnesium caseinate,"Protein, Magnesium","Muscle function, metabolic support",0,Milk allergies,7
zinc caseinate,"Protein, Zinc","Immune support, enzyme processes",0,Milk allergies,7
fermented milk powder,Probiotics,"Gut health, immune support",0,Dairy sensitivity,8
colostrum powder,Immunoglobulins,Immune system boost,0,None,9
buttermilk solids,"Protein, Lactic acid","Flavor, tenderizing agent",0,Lactose intolerance,7
dairy cream powder,Fat,0,High saturated fat,Heart disease,5
sour cream powder,"Fat, Cultures",0,High in fat,Heart disease,5
whey protein isolate,"Protein, Low lactose","Muscle repair, lean muscle growth",0,Milk allergies,8
lactoferrin,Protein,"Antimicrobial, immune support",0,None,9
lactoglobulin,Protein,Amino acid supply,0,Milk allergies,7
lactalbumin,Protein,Nutritional supplement,0,Milk allergies,7
milk fat globule membrane,Lipids,Cognitive development,0,Milk allergies,7
proline-rich polypeptides,Peptides,Immune modulation,0,None,8
immunoglobulins,Proteins,Immune defense,0,None,9
beta-lactoglobulin,Whey protein,"Vitamin carrier, nutritional",0,Milk allergies,7
alpha-lactalbumin,Protein,"High tryptophan, sleep aid",0,Milk allergies,8
glycomacropeptide,Peptide,"Satiety, PKU management",0,Phenylketonuria,8
phospholipids,Fats,"Cell membrane health, cognitive function",0,None,8
sphingolipids,Lipids,"Neural protection, skin health",0,None,8
conjugated linoleic acid,Fat,"Weight management, cancer prevention",0,None,8
omega-3 fatty acids,Fat,"Heart health, anti-inflammatory",0,None,9
omega-6 fatty acids,Fat,"Essential fatty acids, growth and development",0,None,7
medium chain triglycerides,Fat,"Energy, metabolic health",0,None,7
diacetyl ,"Buttery flavor, Compound",0,Respiratory concerns in manufacturing,None,5
ethyl vanillin,Compound,Vanilla flavor,0,None,6
vanilla bean,Compound,"Flavor, antioxidant properties",0,None,8
almond extract,Compound,Flavor,0,Nut allergies,5
rose water,Flavor,"Digestive aid, mood enhancer",0,None,8
orange blossom water,Flavor,"Calmative, digestive aid",0,None,8
cardamom extract,Flavor,Digestive health,0,None,8
saffron extract,Compounds,"Mood improvement, appetite control",0,None,9
pistachio extract,Flavor,good for blood sugar balance,0,Nut allergies,5
mango extract,Flavor,Infuses mango flavor into culinary creations,0,None,6
strawberry extract,Flavor,Provides strawberry flavoring without the fruit,0,None,6
raspberry extract,Flavor,Antioxidants,0,None,7
blueberry extract,Flavor,Antioxidants,0,None,7
lemon extract,Flavor,"Detoxification, vitamin C",0,None,8
lime extract,Flavor,"Vitamin C, flavoring",0,None,8
cherry extract,Flavor,Antioxidant properties,0,None,7
peppermint extract,Flavor,Digestive aid,0,None,8
spearmint extract,Flavor,Digestive aid,0,None,8
cocoa extract,Flavonoids,"Antioxidant, mood improvement",0,None,8
coffee extract,Caffeine,"Alertness, antioxidant",0,Overconsumption issues,7
hazelnut extract,Flavor,Adds hazelnut flavor to beverages and baked goods,0,Nut allergies,5
caramel color,Color,Aesthetic appeal,0,None,5
titanium dioxide ,"Whiteness, opacity",0,Inhalation risk in manufacturing,None,5
beetroot red (for color),Natural color,Antioxidants,0,None,8
anthocyanins (for color),Natural color,Antioxidant properties,0,None,9
turmeric (for color),Curcumin,"Anti-inflammatory, antioxidant",0,None,9
annatto extract (for color),Natural color,Antioxidant,0,None,7
carotenes (for color),Natural color,"Vitamin A source, antioxidant",0,None,9
lutein (for color),Compound,Eye health,0,None,9
paprika extract (for color),"Capsaicin, Vitamins","Antioxidant, anti-inflammatory",0,None,8
chlorophyll (for color),Natural color,Detoxification properties,0,None,8
cochineal extract (for color),Natural color,0,Potential allergen,Allergies to cochineal,5
calcium lactate,Calcium,Bone health,0,None,7
potassium citrate,Potassium,Electrolyte balance,0,None,7
sodium citrate,"Sodium, pH balance",0,High sodium intake,None,6
magnesium citrate,Magnesium,"Digestive aid, muscle function",0,None,8
zinc gluconate,Zinc,Immune support,0,None,8
ferrous gluconate,Iron,Anemia prevention,0,None,7
copper gluconate,Copper,"Energy production, iron absorption",0,None,7
manganese gluconate,Manganese,"Bone health, antioxidant",0,None,7
chromium picolinate,Chromium,Blood sugar control,0,None,7
selenium yeast,Selenium,"Antioxidant, thyroid function",0,None,8
molybdenum yeast,Molybdenum,Enzyme function,0,None,7
iodised salt,Iodine,Thyroid health,0,None,6
erythritol,Sugar alcohol,Sweetness without calories,0,Digestive discomfort,7
monk fruit sweetener,Natural sweetener,No-calorie sweetness,0,None,8
agave syrup,"Fructose, sweetness",0,High fructose content,None,5
maple syrup,"Minerals, antioxidants, Natural sweetness",0,High sugar content,None,6
brown rice syrup,"Glucose, Energy",0,High glycemic index,Diabetes,5
prebiotic fibers,Dietary fiber,"Gut health, digestion support",0,None,9
inulin,Fiber,"Prebiotic, gut health",0,Digestive discomfort,8
polydextrose,Fiber,Low-calorie bulking agent,0,Digestive discomfort,6
resistant starch,Fiber,"Digestive health, glycemic control",0,None,9
gos,Galactooligosaccharides,"Prebiotic, gut health",0,None,9
fos,Fructooligosaccharides,"Prebiotic, calcium absorption",0,None,9
acacia gum,Fiber,"Prebiotic, gut health",0,None,8
arabic gum,Fiber,"Prebiotic, gut health",0,None,8
alginate,Polysaccharide,"Thickening, stabilizing",0,None,6
gelatin,Protein,"Gelling agent, joint health",0,Vegetarians,6
agar,Polysaccharide,Vegetarian gelatin substitute,0,None,8
microbial rennet,Enzyme,Cheese production,0,None,9
liquid smoke,Compound,Flavoring for cheeses,0,None,6
edible gold leaf,Metal,Decoration,0,None,5
cocoa mass,Antioxidants,"Heart health, mood improvement",0,None,8
cocoa butter,"Fats, Skin health, satiety",0,High in saturated fat,None,6
milk solids,"Protein, Calcium","Bone health, muscle growth",0,Lactose intolerance,7
dark chocolate,Flavonoids,"Antioxidant, heart health",0,"Diabetes, high sugar content",7
milk chocolate,"Sugar, Milk",0,High sugar and fat,"Diabetes, obesity",5
white chocolate,"Sugar, Cocoa Butter",0,High sugar and fat,"Diabetes, obesity",4
compound chocolate,Vegetable Fats,0,Lower nutritional value,None,4
chocolate liquor,Cocoa solids,"Antioxidants, mood improvement",0,None,7
cacao nibs,"Fiber, Magnesium","Antioxidant, heart health",0,None,9
cacao powder,Antioxidants,"Blood pressure reduction, mood",0,None,8
beet sugar,"Sucrose, Energy",0,High sugar content,Diabetes,2
cane sugar,"Sucrose, Energy",0,High sugar content,Diabetes,2
brown sugar,"Sucrose, Slight Minerals",0,High sugar content,Diabetes,2
powdered sugar,Sucrose,0,High sugar content,Diabetes,2
icing sugar,Sucrose,0,High sugar content,Diabetes,2
palm sugar,"Lower GI than white sugar, Minerals",0,High sugar content,Diabetes,4
golden syrup,Sugar,0,High sugar content,Diabetes,2
molasses,Iron and calcium source,0,High sugar content,Diabetes,4
toffee,"Sugar, Butter",0,High sugar and fat,"Diabetes, obesity",3
caramel,"Sugar, Cream",0,High sugar content,Diabetes,3
fudge,"Sugar, Milk, Butter",0,High sugar and fat,"Diabetes, obesity",3
nougat,"Sugar, Nuts",0,High sugar content,Diabetes,4
marshmallow,"Sugar, Gelatin",0,High sugar content,Diabetes,2
acacia gum (gum arabic),Fiber,"Prebiotic, food stabilizer",0,None,7
corn starch,Carbohydrates,Thickening agent,0,None,5
arrowroot,Starch,Gluten-free thickener,0,None,6
fruit concentrates,"Vit, Natural sweetener",0,High sugar content,Diabetes,5
fruit extracts,Vitamins,"Flavoring, nutrients",0,None,7
vegetable extracts,Nutrients,"Flavoring, nutrients",0,None,7
almond paste,"Fats, Protein",0,High calorie,Nut allergies,6
pistachio paste,"Fats, Protein",0,High calorie,Nut allergies,6
hazelnut paste,"Fats, Vit E",0,High calorie,Nut allergies,6
marzipan,"Sugar, Almonds",0,High sugar content,Nut allergies,3
fondant,Sugar,0,High sugar content,Diabetes,2
glucose,Carbohydrate,0,High GI,Diabetes,5
invert sugar,"Sucrose, Bakery Softness",0,High sugar content,Diabetes,2
sorbitol,Sugar alcohol,Low-calorie sweetener,0,Digestive discomfort,6
maltitol,Sugar alcohol,Sugar-free sweetener,0,Digestive discomfort,6
xylitol,Sugar alcohol,"Dental health, low-calorie",0,Digestive discomfort,7
isomalt,Sugar alcohol,Sugar-free sweetener,0,Digestive discomfort,6
mannitol,Sugar alcohol,Low-calorie sweetener,0,Digestive discomfort,6
stevia extract,Steviol glycosides,No-calorie sweetness,0,None,8
licorice extract,Digestive aid,0,High blood pressure,Hypertension,5
mint extract,Flavor,Digestive aid,0,None,7
peppermint oil,Menthol,"Digestive aid, flavoring",0,None,8
spearmint oil,Menthol,"Digestive aid, flavoring",0,None,8
orange oil,Flavor,"Flavoring, vitamin C",0,None,7
lemon oil,Flavor,"Flavoring, vitamin C",0,None,7
lime oil,Flavor,"Flavoring, vitamin C",0,None,7
cherry flavor,Flavor,Confectionery flavoring,0,None,5
raspberry flavor,Flavor,Confectionery flavoring,0,None,5
strawberry flavor,Flavor,Confectionery flavoring,0,None,5
blueberry flavor,Flavor,Confectionery flavoring,0,None,5
almond flavor,Flavor,Confectionery flavoring,0,Nut allergies,5
vanilla essence,Vanillin,Flavor,0,None,6
ethyl vanillin,Flavor,Stronger vanilla flavor,0,None,6
butter oil,Fat,0,High saturated fat,Heart disease,5
clarified butter,Fat,0,High saturated fat,Heart disease,5
coconut milk powder,"Vegan, Fats, Minerals",0,High saturated fat,None,6
skimmed milk powder,"Protein, Calcium","Nutrient-rich, low fat",0,Lactose intolerance,7
whey powder,Protein,"Muscle repair, growth",0,Lactose intolerance,7
lactose,Carbohydrate,0,Digestive issues,Lactose intolerance,5
casein,Protein,"Muscle growth, recovery",0,Milk allergies,7
emulsifiers,Various,"Food texture, stability",0,None,6
anti-caking agents,Various,Prevents clumping,0,None,6
acidulants,Various,"Flavor, pH balance",0,None,6
flavor enhancers,Various,Enhances taste,0,None,6
preservatives,Various,Extends shelf life,0,None,5
coloring agents,Various,Aesthetic appeal,0,None,5
edible glitter,Decoration,Aesthetic appeal,0,None,5
silver leaf (varq),Metal,Decoration,0,None,5
gold leaf,Metal,Decoration,0,None,5
sprinkles,"Sugar, Color",0,High sugar content,Diabetes,3
decorative sugar pearls,Sugar,0,High sugar content,Diabetes,3
fruit jellies,"Sugar, Pectin",0,High sugar content,Diabetes,3
gummy candies,"Sugar, Gelatin",0,High sugar content,Diabetes,2
hard candies,Sugar,0,High sugar content,Diabetes,2
lollipop,Sugar,0,High sugar content,Diabetes,2
chewing gum,"Sugar alcohol, Flavors",0,Digestive discomfort in excess,None,6
bubble gum,"Sugar, Flavors",0,High sugar content,Diabetes,2
coconut sugar,Lower GI than white sugar,0,High sugar content,Diabetes,4
diastatic malt powder,Enzymes,Dough conditioning,0,None,6
non-diastatic malt powder,Flavor,0,High sugar content,Diabetes,5
maltose,Sugar,0,High glycemic index,Diabetes,3
trehalose,"Sugar, Stability, moisture in foods",0,High glycemic index,Diabetes,3
fruit pectin,Fiber,"Gelling agent, digestive health",0,None,8
filtered water,0,Hydration,0,None,10
spring water,Minerals,"Hydration, mineral intake",0,None,9
mineral water,Minerals,"Hydration, electrolyte balance",0,None,9
carbonated water,Hydration,0,Bloating in some cases,None,7
fruit juice concentrate,"Vitamins, Sugars",0,High sugar content,Diabetes,5
vegetable juice concentrate,"Vitamins, Minerals","Nutrient-rich, flavor",0,None,8
tea extract,Antioxidants,Antioxidant properties,0,None,8
green tea extract,Catechins,"Metabolism, brain function",0,None,9
black tea extract,Theaflavins,"Heart health, antioxidant",0,None,8
chicory extract,Inulin,Digestive health,0,None,7
yerba mate extract,"Caffeine, Antioxidants",0,Caffeine related,None,7
rooibos extract,Antioxidants,"Stress relief, heart health",0,None,9
herbal extracts,Varied,Varies based on type; can offer therapeutic benefits,0,None,7
ginger extract,Gingerol,"Nausea relief, anti-inflammatory",0,None,9
turmeric extract,Curcumin,"Anti-inflammatory, antioxidant",0,None,9
aloe vera juice,"Vitamins, Minerals","Digestive health, skin care",0,Laxative effect in excess,7
coconut water,Electrolytes,"Hydration, nutrient replenishment",0,None,9
electrolytes,Electrolytes,"Hydration, balance",0,None,9
vitamin c,Antioxidant,"Immune support, skin health",0,None,9
vitamin e,Antioxidant,"Skin health, anti-inflammatory",0,None,8
b vitamins,Energy metabolism,"Energy, brain function",0,None,9
vitamin d,0,"Bone health, immune support",0,None,9
zinc,0,"Immune function, wound healing",0,None,8
selenium,0,"Antioxidant, thyroid function",0,None,8
chromium,0,Blood sugar regulation,0,None,7
l-carnitine,0,"Energy production, fat metabolism",0,None,7
taurine,0,"Heart health, eye health",0,None,7
caffeine,Stimulant,"Alertness, metabolism boost",0,Overconsumption alert,6
malic acid,0,"Flavor enhancer, saliva production",0,None,7
phosphoric acid,0,Acidity regulator,0,High intake concerns,6
lactic acid,0,0,preservative,None,7
tartaric acid,antioxidant,improves overall health,0,None,7
acesulfame k,low-calorie sweetner,0,Potential health concerns,None,4
saccharin,low-calorie sweetner,0,Potential health concerns,None,4
steviol glycosides,No-calorie sweetness,0,0,None,8
potassium sorbate,Preservative,0,skin irritation,allergic reactions,5
sodium benzoate,Preservative,0,"inflammation, oxidative stress","obesity, ADHD",5
calcium disodium edta,Preservative,0,"Joint Pain, Headache, Nausea, decreased appetite",Allergic Reactions,6
sodium chloride,Salt,sodium rich,0,Hypertension,5
potassium chloride,salt alternative,Low-sodium ,0,None,6
magnesium sulphate,"Supplement, laxative",0,Overuse issues,None,6
sodium bicarbonate,Leavening agent,"Baking, pH balance",0,None,7
potassium bicarbonate,Leavening agent,Low-sodium baking,0,None,7
quinine,Tonic water flavor,0,Side effects in high doses,None,5
gingerol,Anti-inflammatory,"Digestive aid, nausea relief",0,None,9
capsaicin,Pain relief,"Metabolism boost, pain relief",0,None,7
mint essence,Flavor,"Digestive aid, freshening",0,None,8
lemon essence,Flavor,Flavor enhancement,0,None,8
